"x","y"
-123.137620749868,46.1326995289764
-123.133269536422,46.1360649339726
-123.607376248815,46.114447993944
-123.663528219459,46.1798419084868
-123.672456357713,46.1927960467659
-123.671277642831,46.1946479098326
-123.601507753446,46.202322457734
-123.555826282017,46.1811951930356
-123.532339761022,46.1704223357726
-123.52465303525,46.1697100807469
-123.514508563555,46.1708763983514
-123.493617723204,46.1741349650938
-123.450042891138,46.1829580242241
-123.433352789993,46.1933836571621
-123.41152148564,46.2034798721507
-123.355921253877,46.2267171923627
-123.342065084256,46.2302517579275
-123.339544640732,46.2307681428211
-123.335105650645,46.2313379468416
-123.329362550477,46.2314803978468
-123.322315340226,46.2307503364455
-123.316471923897,46.2286224745563
-123.305963806121,46.2225237908992
-123.264558311019,46.197657187316
-123.260533125093,46.1936685591723
-123.257711733089,46.1882821305408
-123.255454619485,46.1810705484061
-123.255906042206,46.1774202413996
-123.254426378844,46.1733692909412
-123.25165514492,46.1688909874674
-123.248244395475,46.1644304903692
-123.240219102663,46.1569072966608
-123.225673259441,46.1463659222811
-123.217146385828,46.1415849104214
-123.209998859417,46.1390385987047
-123.202901491086,46.1374004121457
-123.17207935088,46.1331803011187
-123.166323711191,46.1328775927328
-123.137620749868,46.1326995289764
-116.925241584044,46.0066570989991
-117.472666869987,45.9971663007822
-117.969720904015,45.9882275002103
-118.932593027703,45.970519059635
-118.938235811712,45.9685514551266
-118.940655939075,45.9662099167298
-118.946750145805,45.9606009084027
-118.959001256863,45.9511902388763
-118.962700415269,45.948821990916
-118.980606849856,45.9374437168811
-118.995528878678,45.9302410379342
-119.038476734743,45.9100218983935
-119.045950288674,45.9066386870216
-119.062276743738,45.9016707082177
-119.076120373839,45.8981183362772
-119.084948195933,45.8960706030785
-119.097588032112,45.8939160316259
-119.113463064455,45.8925805534528
-119.122378663189,45.8923490705694
-119.128146842398,45.8926517789553
-119.138379090733,45.8932839052906
-119.16278099669,45.8962575700227
-119.169251389019,45.8979046597695
-119.178279843433,45.8999345865927
-119.197515467142,45.9016974177811
-119.21603633821,45.9021069644209
-119.243422649931,45.9013769030196
-119.251661114583,45.9002551013542
-119.46235012994,45.8674112414837
-119.603469888232,45.8214618891412
-119.66804841633,45.8120334132391
-119.79486058228,45.797343153335
-123.805099400472,45.7862141685592
-123.802378324628,45.7876564849861
-123.799281063183,45.7895528639919
-123.797437753741,45.7909595676676
-123.784810457082,45.8194052527546
-123.74409463558,46.0156137059467
-123.74399431942,46.0265112078392
-123.748057123906,46.0831978046934
-123.749285996868,46.0949678189923
-123.75022646087,46.1013068887207
-123.760985369046,46.1382996341156
-123.764722146011,46.1495621667087
-123.772559346023,46.1661844183699
-123.77674754571,46.1738144503322
-123.785725842043,46.187676713769
-123.805011623832,46.2167367188157
-123.807670002076,46.2189447093952
-123.812873902884,46.22109037766
-123.815482123048,46.222381339894
-123.817538604331,46.225061199428
-123.81704956305,46.2282574438557
-123.816573061289,46.2314536882833
-123.812798665764,46.2324508453192
-123.809024270238,46.2334569055429
-123.804585280151,46.2340267095635
-123.798829640463,46.2337150979897
-123.795594444298,46.2328871015224
-123.791055138051,46.2311865926487
-123.73074004676,46.1977017032551
-123.674211890515,46.1636648162167
-123.607376248815,46.114447993944
-123.133269536422,46.1360649339726
-123.103776585337,46.1317379846917
-123.09227784548,46.1315688241231
-123.07902357282,46.1341774581546
-123.069029575365,46.1385222138111
-123.061543481914,46.1418965219951
-123.056063711666,46.1470336613677
-123.050596480937,46.1526337665069
-123.046960020132,46.1563552990159
-123.042633885725,46.1591954159307
-123.018269598329,46.1693628564219
-123.006921332712,46.1719180713264
-122.988463159244,46.1728529060476
-122.976914261307,46.1713215577425
-122.960199081121,46.168561569518
-122.951170626708,46.1665227395071
-122.934944487803,46.1610294726217
-122.903081567435,46.148654041551
-122.88616575493,46.1418163933047
-122.876334771235,46.1366080284296
-122.760971187062,46.0741076499285
-122.742575711194,46.0632190512238
-122.736569281105,46.0579216544705
-122.73317107118,46.053924123139
-122.682298238463,45.9548405458827
-122.659238061149,45.9018487719741
-122.648341218252,45.8626391328118
-122.644265874246,45.8069229834301
-122.627839103021,45.6576699428043
-122.62667292766,45.6472621162419
-122.625694845098,45.6404956934982
-122.622208858533,45.6346908150391
-122.612390414358,45.6295002565397
-122.605832245388,45.6260369164774
-122.526406925589,45.5945196315922
-122.516638639494,45.5906823576415
-122.505039583477,45.5882606905543
-122.185971496597,45.5238906426108
-122.177595097224,45.5222880688031
-122.167375388409,45.522092198671
-122.141907623251,45.5232050971486
-122.132402667076,45.5243536083775
-122.10832678864,45.5276834006224
-121.994317472629,45.5568858566742
-121.972912511956,45.5624236394987
-121.959708397377,45.5663855580789
-121.878740716615,45.5924808015813
-121.836194125191,45.6089873118008
-121.774198738217,45.6445822567079
-121.768091991968,45.6497282992682
-121.748016220418,45.656592657078
-121.710322423241,45.6679887374884
-121.703413147711,45.6699830515603
-121.692052342574,45.6725471696526
-121.685707345444,45.6731614896122
-121.678033159193,45.6729032971654
-121.66965675982,45.6713096265455
-121.660578147327,45.6683715745647
-121.654709651958,45.6657985532845
-121.648201641068,45.66324333838
-121.641079193697,45.66115999243
-121.632100897364,45.6604833501556
-121.598244193313,45.6595485154344
-121.5899681101,45.6597532887543
-121.582344081929,45.6604032214652
-121.505100638613,45.6719239465052
-121.47661084913,45.6762865085373
