FID,WELL_CLASS,TD,PB,NOX,lat,long
0,G,"3,161.000000000000000",0.000000000000000,"1,120.841945947166800",42.466140794600001,-110.237128642000000
1,G,"7,400.000000000000000","7,355.000000000000000","1,466.453245065468100",42.275462122599997,-110.196165851999990
2,G,"7,880.000000000000000","7,691.000000000000000","1,447.245431302058500",42.276502596299999,-110.166324448000000
3,G,"7,358.000000000000000",0.000000000000000,"1,453.056125641664000",42.277302380099997,-110.179625079999990
4,G,"7,450.000000000000000",0.000000000000000,"1,524.288033908303500",42.279150392200002,-110.310350227000000
5,G,"7,730.000000000000000","7,680.000000000000000","1,465.296300827857100",42.280081856800003,-110.211656606999990
6,G,"8,390.000000000000000",0.000000000000000,"1,532.489674648362800",42.280280129799998,-110.328570779000000
7,G,"7,230.000000000000000","7,192.000000000000000","1,457.107876246166100",42.281022024899997,-110.200866104000000
8,G,"7,537.000000000000000","7,496.000000000000000","1,476.003989157200500",42.281351477400001,-110.235127719999990
9,G,"7,144.000000000000000","7,107.000000000000000","1,504.145845148154900",42.281380757699999,-110.283999452000000
10,G,"7,995.000000000000000","7,745.000000000000000","1,314.420120522597900",42.370410637399999,-110.271079497000000
11,G,"7,340.000000000000000","7,232.000000000000000","1,510.907620770124600",42.282820511499999,-110.300979969000000
12,G,"7,767.000000000000000","7,615.000000000000000","1,484.259099991419400",42.284721057200002,-110.262058810000000
13,G,"11,080.000000000000000","11,036.000000000000000","1,516.885842718525100",42.286010188399999,-110.322990649000000
14,G,"7,590.000000000000000",0.000000000000000,"1,425.110054838113700",42.285212651300000,-110.160384218999990
15,G,"3,773.000000000000000","2,050.000000000000000","1,432.776512489412700",42.308271016299997,-110.259328834000000
16,G,"7,640.000000000000000",0.000000000000000,"1,472.635111592364200",42.286191266099998,-110.247368319000000
17,G,"7,613.000000000000000",0.000000000000000,"1,458.814540314713200",42.286431632800003,-110.224197229000000
18,G,"7,350.000000000000000","6,945.000000000000000","1,448.174996694209800",42.287251876299997,-110.208666503000000
19,G,"7,960.000000000000000","7,838.000000000000000","1,490.062325315681600",42.288080726499999,-110.284539503999990
20,G,"10,711.000000000000000","7,405.000000000000000","1,508.164857089288300",42.288310272300002,-110.316500469000000
21,G,"7,205.000000000000000",0.000000000000000,"1,494.399445371005600",42.288940572400001,-110.295179829000010
22,G,"7,160.000000000000000",0.000000000000000,"1,436.193216337073900",42.289002098099999,-110.194215832000000
23,G,"7,475.000000000000000","7,150.000000000000000","1,497.310863815079300",42.290840395700002,-110.307160203000000
24,G,"7,369.000000000000000",0.000000000000000,"1,421.408177287072900",42.292452290699998,-110.181145237000000
