year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   1.1500000e+00   7.4202899e+00   2.5761230e-02
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   1.1100000e+00   7.1111111e+00   3.3112305e-02
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   1.1700000e+00   7.2112676e+00   3.5294922e-02
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   1.1300000e+00   7.2112676e+00   5.0673340e-02
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   1.1900000e+00   6.9189189e+00   7.2605469e-02
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   1.3200000e+00   7.0136986e+00   1.2022021e-01
   2.0120000e+03   9.0000000e+00   1.5000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00             NaN   6.7368421e+00   1.6697363e-01
   2.0120000e+03   9.0000000e+00   1.5000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.5000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.5000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.5000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.6000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
