		This is offshore towards inshore from the end of the line to stake 4.5					
	EM31						
Along line	Dist (m)	BH1	E	Snow	Ice+Snow	Ice	Comments
	700	183.1	30.108		254.2	254.2
1.18	705	157.78	30.132		279.4	279.4
	710	116.28	30.104		338.5	338.5
	715	85.759	30.124		417.0	417.0
	720	72.94	30.139		478.0	478.0
	725	94.6	30.115		388.3	388.3
	730	88.5	30.044		407.3	407.3
	735	182.5	30.02		254.8	254.8
	740	246.88	29.974		208.0	208.0
	745	238.04	29.99		213.4	213.4
	750	267.64	30.014		196.2	196.2
	755	295.1	30.011		182.3	182.3
	760	297.54	29.998		181.1	181.1
	765	301.52	29.95		179.3	179.3
	770	266.72	29.963		196.7	196.7
1.08	775	224.6	29.948		222.1	222.1
	780	301.2	29.939		179.4	179.4
	785	295.1	29.889		182.3	182.3
	790	297.86	29.875		181.0	181.0
	795	233.46	29.83		216.3	216.3
	800	172.42	29.869		264.2	264.2
	805	184.64	29.807		252.8	252.8
	810	180.96	29.768		256.1	256.1
	815	157.48	29.799		279.7	279.7
	820	159.3	29.788		277.7	277.7
	825	214.24	29.794		229.3	229.3
	830	191.04	29.658		247.3	247.3
	835	214.24	29.678		229.3	229.3
0.99	840	67.44	27.868		519.2	519.2
	845	104.68	29.491		362.4	362.4
	850	203.86	29.454		237.0	237.0
	855	241.4	29.439		211.3	211.3
	860	228.58	29.375		219.4	219.4
	865	238.96	29.406		212.8	212.8
	870	231.62	29.411		217.5	217.5
	875	187.68	29.395		250.2	250.2
	880	98.88	29.362		376.6	376.6
	885	131.84	29.351		312.6	312.6
	890	183.1	29.316		254.2	254.2
	895	225.22	29.327		221.7	221.7
	900	253	29.332		204.4	204.4
	905	197.14	29.332		242.3	242.3
	910	170.9	29.294		265.7	265.7
	915	231.62	29.272		217.5	217.5
	920	230.72	29.226		218.0	218.0
	925	230.4	29.274		218.3	218.3
	930	231.62	29.266		217.5	217.5
	935	252.38	29.257		204.7	204.7
	940	248.72	29.206		206.9	206.9
	945	184.32	29.233		253.1	253.1
	950	246.88	29.189		208.0	208.0
	955	244.44	29.022		209.4	209.4
	960	240.78	29.027		211.7	211.7
	965	167.54	28.928		269.0	269.0
	970	84.84	28.983		420.4	420.4
0.8	975	58.28	23.585		664.7	664.7
	980	103.76	28.926		364.5	364.5
	985	238.64	28.875		213.0	213.0
	990	232.54	28.831		216.9	216.9
	995	234.68	28.818		215.5	215.5
	1000	220.34	28.86		225.0	225.0
0.68	1005	224.92	28.851		221.9	221.9
	1010	224.92	28.853		221.9	221.9
	1015	271.3	28.855		194.3	194.3
	1020	268.24	28.849		195.9	195.9
	1025	272.52	28.858		193.6	193.6
	1030	245.98	28.849		208.5	208.5
	1035	242.92	28.855		210.4	210.4
	1040	232.24	28.846		217.1	217.1
	1045	266.12	28.835		197.0	197.0
	1050	254.52	28.8		203.5	203.5
	1055	141.6	28.844		299.0	299.0
	1060	117.8	28.8		335.7	335.7
	1065	185.86	28.743		251.8	251.8
	1070	243.84	28.746		209.8	209.8
	1075	234.68	28.757		215.5	215.5
	1080	238.04	28.75		213.4	213.4
	1085	230.1	28.761		218.4	218.4
	1090	227.96	28.757		219.9	219.9
	1095	226.14	28.763		221.1	221.1
	1100	234.06	28.757		215.9	215.9
	1105	231.94	28.759		217.2	217.2
	1110	220.94	28.761		224.6	224.6
	1115	212.4	28.756		230.6	230.6
	1120	221.86	28.721		224.0	224.0
	1125	238.64	28.756		213.0	213.0
	1130	206.9	28.721		234.7	234.7
0.57	1135	180.96	28.689		256.1	256.1
	1140	110.78	28.706		349.2	349.2
	1145	91.24	28.741		398.3	398.3
	1150	92.46	28.719		394.6	394.6
	1155	96.44	28.717		383.1	383.1
	1160	83.92	28.655		424.0	424.0
	1165	72.64	28.671		479.9	479.9
	1170	95.52	28.699		385.6	385.6
	1175	133.36	28.631		310.4	310.4
	1180	159.3	28.544		277.7	277.7
	1185	212.1	28.561		230.9	230.9
	1190	215.46	28.563		228.4	228.4
	1195	125.74	28.561		322.1	322.1
	1200	144.04	28.555		295.8	295.8
	1205	122.38	28.515		327.7	327.7
	1210	121.76	28.559		328.7	328.7
	1215	104.98	28.555		361.7	361.7
	1220	154.12	28.541		283.6	283.6
	1225	184.94	28.519		252.6	252.6
	1230	176.7	28.555		260.1	260.1
	1235	212.4	28.555		230.6	230.6
	1240	225.52	28.541		221.5	221.5
	1245	205.68	28.498		235.6	235.6
	1250	162.96	28.542		273.8	273.8
	1255	152.9	28.497		285.0	285.0
	1260	202.64	28.515		238.0	238.0
	1265	246.28	28.498		208.3	208.3
	1270	171.2	28.526		265.4	265.4
	1275	99.8	28.548		374.2	374.2
0.36	1280	90.34	28.548		401.2	401.2
	1285	182.5	28.541		254.8	254.8
	1290	194.4	28.497		244.5	244.5
	1295	169.06	28.541		267.5	267.5
	1300	104.68	28.563		362.4	362.4
	1305	104.68	28.561		362.4	362.4
	1310	101.02	28.509		371.1	371.1
	1315	118.1	28.517		335.1	335.1
	1320	125.42	28.526		322.6	322.6
	1325	175.78	28.484		260.9	260.9
	1330	153.2	28.487		284.6	284.6
	1335	145.26	28.537		294.3	294.3
	1340	203.86	28.493		237.0	237.0
	1345	155.94	28.471		281.5	281.5
	1350	177.3	28.454		259.5	259.5
	1355	171.5	28.476		265.1	265.1
	1360	219.42	28.498		225.7	225.7
	1365	198.06	28.498		241.6	241.6
	1370	168.16	28.598		268.4	268.4
	1375	97.96	28.66		379.0	379.0
	1380	162.66	28.609		274.1	274.1
	1385	211.48	28.638		231.3	231.3
	1390	182.5	28.643		254.8	254.8
	1395	136.72	28.561		305.6	305.6
	1400	101.62	28.555		369.7	369.7
	1405	92.78	28.594		393.6	393.6
	1410	57.68	24.36		685.8	685.8
	1415	67.44	27.096		519.2	519.2
	1420	81.18	28.594		435.3	435.3
	1425	79.34	28.643		443.5	443.5
	1430	79.04	28.667		444.9	444.9
	1435	116.28	28.616		338.5	338.5
0.14	1440	172.72	28.588		263.9	263.9
	1445	220.34	28.544		225.0	225.0
