	This line is more or less perpendicular to the mainline and crosses it at the hut				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
715	429.08	33.287	6.8	131.5	124.7
720	422.66	33.287	9.3	133.5	124.1
725	422.98	33.285	10.1	133.4	123.3
730	423.88	33.287	10.3	133.1	122.8
735	422.36	33.287	10.0	133.6	123.6
740	416.26	33.287	1.1	135.5	134.4
745	421.76	33.287	11.7	133.8	122.1
750	424.2	33.283	9.8	133.0	123.2
755	423.58	33.287	7.8	133.2	125.3
760	424.5	33.285	6.5	132.9	126.4
765	413.2	33.288	4.2	136.5	132.3
770	426.94	33.285	4.3	132.2	127.8
775	426.64	33.285	4.5	132.2	127.7
780	425.1	33.285	5.0	132.7	127.7
785	423.88	33.287	5.8	133.1	127.3
790	424.5	33.287	5.8	132.9	127.1
795	424.2	33.287	4.6	133.0	128.4
800	422.98	33.285	3.9	133.4	129.5
805	424.8	33.287	4.1	132.8	128.7
810	428.78	33.287	4.5	131.6	127.1
815	425.72	33.285	3.3	132.5	129.2
820	426.94	33.285	5.0	132.2	127.2
825	422.36	33.287	8.0	133.6	125.6
830	423.58	33.287	7.1	133.2	126.1
835	426.64	33.285	5.2	132.2	127.0
840	427.56	33.287	4.9	132.0	127.0
845	426.02	33.285	4.7	132.4	127.7
850	426.02	33.285	5.5	132.4	126.9
855	424.5	33.287	5.4	132.9	127.5
860	395.82	33.285	12.9	142.2	129.2
865	427.24	33.285	7.3	132.1	124.8
870	426.64	33.285	6.3	132.2	126.0
875	424.8	33.283	5.1	132.8	127.7
880	420.84	33.285	5.4	134.0	128.7
885	428.46	33.285	3.9	131.7	127.8
890	427.56	33.285	6.2	132.0	125.8
895	416.88	33.287	8.8	135.3	126.5
900	417.48	33.287	9.1	135.1	126.0
905	416.56	33.285	10.6	135.4	124.8
910	415.96	33.287	11.0	135.6	124.6
915	419.62	33.285	9.9	134.4	124.5
920	422.98	33.285	7.8	133.4	125.5
925	421.76	33.285	5.8	133.8	127.9
930	425.42	33.281	4.5	132.6	128.2
935	425.42	33.285	4.3	132.6	128.3
940	423.58	33.285	4.1	133.2	129.0
945	423.28	33.285	4.0	133.3	129.3
950	426.02	33.283	4.1	132.4	128.4
955	420.84	33.283	4.2	134.0	129.8
960	425.72	33.285	3.9	132.5	128.6
965	424.8	33.285	4.1	132.8	128.7
970	425.42	33.281	4.8	132.6	127.8
975	422.36	33.285	3.9	133.6	129.7
980	377.5	33.283	19.7	148.5	128.8
985	418.7	33.285	4.3	134.7	130.4
990	423.58	33.283	4.8	133.2	128.4
995	423.88	33.283	3.5	133.1	129.6
1000	424.5	33.285	4.2	132.9	128.7
1005	414.12	33.281	5.4	136.2	130.7
1010	420.84	33.283	3.8	134.0	130.2
1015	419	33.283	3.6	134.6	131.0
1020	416.26	33.285	3.0	135.5	132.5
1025	404.96	33.285	1.9	139.1	137.3
1030	403.44	33.283	3.3	139.6	136.3
1035	405.28	33.279	2.3	139.0	136.7
1040	405.58	33.279	3.5	138.9	135.4
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
