	This is offshore towards inshore from the end of the line to stake 4.5				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
715	450.14	33.412	13.78	125.2	111.4
720	445.56	33.412	3.18	126.6	123.4
725	446.16	33.412	3.51	126.4	122.9
730	451.36	33.41	3.06	124.9	121.8
735	447.7	33.412	3.10	125.9	122.8
740	445.56	33.412	5.59	126.6	121.0
745	413.2	33.41	6.56	136.5	129.9
750	417.78	33.412	14.91	135.0	120.1
755	440.06	33.412	17.36	128.2	110.8
760	437.02	33.412	4.31	129.1	124.8
765	438.54	33.412	4.39	128.6	124.2
770	436.4	33.412	5.11	129.3	124.2
775	415.04	33.41	7.12	135.9	128.8
780	415.34	33.412	16.43	135.8	119.4
785	411.38	33.412	6.64	137.1	130.4
790	409.86	33.412	3.75	137.5	133.8
795	407.72	33.41	5.91	138.2	132.3
800	385.44	33.412	7.68	145.7	138.0
805	397.94	33.41	13.94	141.5	127.5
810	388.18	33.412	14.19	144.8	130.6
815	402.84	33.412	14.67	139.8	125.2
820	412.6	33.412	5.83	136.7	130.8
825	410.16	33.412	3.18	137.4	134.3
830	412.3	33.412	2.06	136.8	134.7
835	415.34	33.412	1.90	135.8	133.9
840	419.62	33.412	3.51	134.4	130.9
845	411.38	33.412	12.02	137.1	125.0
850	422.36	33.413	11.13	133.6	122.4
855	427.24	33.412	11.05	132.1	121.0
860	395.2	33.413	8.00	142.4	134.4
865	389.4	33.413	13.22	144.3	131.1
870	346.68	33.412	5.91	160.0	154.1
875	354.62	33.412	6.88	156.9	150.0
880	332.94	33.412	8.89	165.5	156.6
885	345.46	33.412	6.64	160.5	153.8
890	378.72	33.413	10.01	148.1	138.1
895	412.3	33.413	19.65	136.8	117.1
900	427.86	33.412	17.32	131.9	114.6
905	434.26	33.412	10.73	129.9	119.2
910	405.28	33.412	5.91	139.0	133.1
915	408.94	33.412	17.32	137.8	120.5
920	429.68	33.413	13.54	131.3	117.8
925	424.8	33.412	3.18	132.8	129.6
930	431.52	33.412	6.88	130.8	123.9
935	438.84	33.412	8.97	128.5	119.6
940	430.9	33.412	4.55	130.9	126.4
945	434.26	33.413	7.36	129.9	122.6
950	438.24	33.412	9.29	128.7	119.4
955	439.46	33.412	11.01	128.4	117.3
960	439.76	33.413	9.85	128.3	118.4
965	447.08	33.41	10.33	126.1	115.8
970	441.58	33.412	5.59	127.7	122.1
975	430.9	33.413	7.84	130.9	123.1
980	433.96	33.412	12.50	130.0	117.5
985	440.06	33.413	14.99	128.2	113.2
990	444.04	33.413	9.45	127.0	117.6
995	440.06	33.41	4.23	128.2	124.0
1000	441.28	33.413	6.32	127.8	121.5
1005	435.18	33.412	5.63	129.6	124.0
1010	439.46	33.415	12.58	128.4	115.8
1015	446.16	33.413	10.33	126.4	116.0
1020	448.6	33.413	5.11	125.7	120.6
1025	416.88	33.412	6.72	135.3	128.6
1030	427.56	33.413	21.01	132.0	110.9
1035	427.56	33.412	11.30	132.0	120.7
1040	433.04	33.413	10.25	130.3	120.0
1045	442.8	33.413	6.96	127.4	120.4
1050	441.58	33.413	7.12	127.7	120.6
1055	448.6	33.412	6.48	125.7	119.2
1060	443.72	33.412	5.59	127.1	121.5
1065	450.14	33.413	2.30	125.2	122.9
1070	421.14	33.413	3.67	134.0	130.3
1075	418.1	33.415	16.12	134.9	118.8
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
