	This is from the start of the line near shore to stake 4.5				
EM31					
Dist (m)	BH1	E	Snow	Ice+Snow	Ice
715	417.78	33.402	16.8	135.0	118.3
720	426.34	33.402	9.5	132.3	122.8
725	420.84	33.404	5.0	134.0	129.0
730	400.7	33.404	4.8	140.5	135.7
735	348.82	33.402	6.1	159.2	153.1
740	265.5	33.402	7.8	197.4	189.5
745	216.06	33.404	35.0	228.0	193.0
750	273.44	33.404	42.5	193.1	150.6
755	321.36	33.402	31.6	170.4	138.8
760	238.96	33.402	8.5	212.8	204.3
765	318	33.404	17.5	171.9	154.4
770	389.1	33.402	18.6	144.4	125.8
775	411.98	33.402	11.7	136.9	125.2
780	409.54	33.402	4.4	137.6	133.3
785	405.28	33.404	10.1	139.0	128.9
790	389.4	33.404	8.3	144.3	136.0
795	408.32	33.402	8.1	138.0	130.0
800	398.86	33.402	10.9	141.1	130.3
805	423.58	33.402	30.3	133.2	102.9
810	432.44	33.401	15.1	130.5	115.4
815	419.62	33.406	8.9	134.4	125.5
820	430.3	33.404	9.8	131.1	121.3
825	427.86	33.404	8.1	131.9	123.8
830	421.14	33.402	9.4	134.0	124.5
835	437.32	33.402	20.2	129.0	108.8
840	440.36	33.404	10.8	128.1	117.3
845	444.94	33.402	13.1	126.7	113.6
850	448.92	33.402	4.1	125.6	121.4
855	443.72	33.404	4.4	127.1	122.7
860	414.12	33.404	3.8	136.2	132.3
865	416.88	33.404	7.8	135.3	127.5
870	436.7	33.404	15.2	129.2	114.0
875	443.12	33.402	6.8	127.3	120.5
880	440.36	33.404	3.0	128.1	125.1
885	423.28	33.404	5.2	133.3	128.1
890	346.38	33.404	15.3	160.1	144.8
895	394.28	33.402	47.0	142.7	95.7
900	352.48	33.406	19.5	157.7	138.3
905	344.84	33.404	3.1	160.7	157.6
910	380.24	33.406	20.8	147.5	126.8
915	420.84	33.404	9.4	134.0	124.6
920	421.76	33.404	13.3	133.8	120.5
925	436.1	33.404	11.5	129.4	117.8
930	434.88	33.404	5.5	129.7	124.2
935	417.18	33.404	10.5	135.2	124.7
940	430.9	33.404	22.3	130.9	108.6
945	417.18	33.404	16.8	135.2	118.4
950	433.34	33.404	16.4	130.2	113.8
955	434.58	33.404	11.1	129.8	118.8
960	439.76	33.404	8.5	128.3	119.8
965	440.68	33.404	5.4	128.0	122.6
970	433.34	33.404	3.7	130.2	126.5
975	443.12	33.406	6.0	127.3	121.3
980	427.24	33.404	4.8	132.1	127.3
985	439.14	33.404	9.6	128.5	118.8
990	434.88	33.404	4.6	129.7	125.1
995	435.18	33.404	3.7	129.6	126.0
1000	431.52	33.404	3.8	130.8	126.9
1005	429.38	33.404	7.3	131.4	124.1
1010	441.58	33.406	7.6	127.7	120.1
1015	443.72	33.404	3.3	127.1	123.8
1020	433.96	33.406	3.1	130.0	126.9
1025	445.26	33.404	11.7	126.6	114.9
1030	433.96	33.406	3.2	130.0	126.8
1035	425.72	33.404	9.5	132.5	123.0
1040	440.06	33.404	9.3	128.2	118.9
1045	445.26	33.404	3.9	126.6	122.7
1050	431.82	33.404	2.7	130.7	128.0
1055	451.36	33.404	11.1	124.9	113.8
1060	450.14	33.404	3.2	125.2	122.0
1065	448.92	33.406	2.9	125.6	122.7
1070	444.04	33.404	4.1	127.0	122.9
1075	443.42	33.404	2.0	127.2	125.2
1080	432.44	33.404	2.4	130.5	128.1
1085	447.08	33.406	7.7	126.1	118.4
1090	447.7	33.406	2.4	125.9	123.5
1095	446.48	33.406	4.0	126.3	122.3
1100	415.04	33.404	4.1	135.9	131.7
1105	449.52	33.404	21.5	125.4	103.9
1110	450.44	33.406	7.6	125.1	117.6
1115	441.58	33.404	5.6	127.7	122.1
1120	444.94	33.404	6.5	126.7	120.3
1125	443.42	33.402	2.5	127.2	124.7
1130	435.18	33.404	7.0	129.6	122.6
1135	446.78	33.404	9.7	126.2	116.5
1140	438.84	33.404	6.2	128.5	122.4
1145	444.64	33.404	5.8	126.8	121.0
1150	442.5	33.404	3.0	127.5	124.4
1155	434.26	33.404	8.3	129.9	121.6
1160	440.68	33.404	14.5	128.0	113.5
1165	441.9	33.404	8.8	127.6	118.8
1170	437.92	33.406	8.4	128.8	120.4
1175	450.14	33.404	8.0	125.2	117.2
1180	443.42	33.404	2.6	127.2	124.6
1185	440.68	33.402	4.3	128.0	123.7
1190	424.8	33.404	6.0	132.8	126.8
1195	445.26	33.404	13.4	126.6	113.3
1200	449.52	33.404	8.1	125.4	117.3
1205	435.8	33.402	3.9	129.5	125.5
1210	448	33.402	7.5	125.8	118.4
1215	444.04	33.404	5.0	127.0	122.0
1220	448	33.404	3.2	125.8	122.6
1225	437.92	33.404	3.9	128.8	124.9
1230	443.12	33.402	7.5	127.3	119.8
1235	446.48	33.402	5.8	126.3	120.5
1240	441.28	33.404	5.4	127.8	122.5
1245	445.86	33.404	6.8	126.5	119.7
1250	448.6	33.404	12.3	125.7	113.3
1255	442.2	33.402	2.2	127.5	125.3
1260	434.26	33.404	4.5	129.9	125.5
1265	440.98	33.402	7.1	127.9	120.8
1270	437.32	33.402	6.6	129.0	122.4
1275	448	33.404	8.5	125.8	117.4
1280	438.84	33.404	2.7	128.5	125.8
1285	440.06	33.404	11.2	128.2	117.0
1290	437.02	33.402	9.9	129.1	119.2
1295	450.14	33.402	9.9	125.2	115.4
1300	436.4	33.402	5.6	129.3	123.7
1305	437.62	33.402	11.5	128.9	117.5
1310	442.2	33.402	12.3	127.5	115.3
1315	444.34	33.404	11.5	126.9	115.4
1320	436.1	33.402	7.0	129.4	122.4
1325	435.18	33.402	10.9	129.6	118.7
1330	412.6	33.404	9.9	136.7	126.8
1335	445.26	33.402	17.0	126.6	109.6
1340	440.68	33.402	7.9	128.0	120.1
1345	440.98	33.402	5.8	127.9	122.1
1350	443.72	33.404	5.1	127.1	122.0
1355	445.56	33.404	5.0	126.6	121.5
1360	440.68	33.401	4.5	128.0	123.5
1365	440.36	33.404	6.1	128.1	122.0
1370	441.9	33.402	7.2	127.6	120.4
1375	442.8	33.404	6.5	127.4	120.9
1380	439.76	33.404	5.9	128.3	122.4
1385	439.76	33.402	7.5	128.3	120.7
1390	451.36	33.402	5.7	124.9	119.2
1395	429.38	33.402	6.2	131.4	125.2
1400	424.8	33.402	17.8	132.8	115.0
1405	444.64	33.402	17.2	126.8	109.7
1410	438.84	33.402	7.7	128.5	120.9
1415	448.92	33.402	5.3	125.6	120.3
1420	443.72	33.401	4.5	127.1	122.6
1425	441.28	33.401	4.2	127.8	123.6
1430	445.26	33.402	5.8	126.6	120.8
1435	440.06	33.402	3.4	128.2	124.8
1440	433.04	33.402	7.2	130.3	123.1
1445	445.26	33.404	7.0	126.6	119.6
1450	435.18	33.401	5.4	129.6	124.2
1455	448.3	33.402	8.5	125.8	117.3
1460	444.34	33.402	7.9	126.9	119.0
1465	446.78	33.402	4.1	126.2	122.1
1470	443.72	33.401	6.2	127.1	120.9
1475	443.12	33.402	4.6	127.3	122.7
1480	443.42	33.402	5.1	127.2	122.1
