,,
,,
Latitude,Longitude,thickness (m)
71.9345524,-157.1130354,1.185
71.9345862,-157.1130912,1.140
71.9346200,-157.1131470,1.107
71.9346538,-157.1132027,1.087
71.9346876,-157.1132584,1.081
71.9347214,-157.1133140,1.087
71.9347553,-157.1133696,1.099
71.9347891,-157.1134252,1.110
71.9348229,-157.1134808,1.121
71.9348567,-157.1135363,1.138
71.9348905,-157.1135919,1.164
71.9349243,-157.1136474,1.192
71.9349580,-157.1137030,1.214
71.9349917,-157.1137586,1.224
71.9350254,-157.1138142,1.234
71.9350591,-157.1138699,1.265
71.9350928,-157.1139256,1.323
71.9351264,-157.1139813,1.388
71.9351601,-157.1140370,1.434
71.9351938,-157.1140927,1.452
71.9352275,-157.1141485,1.461
71.9352612,-157.1142042,1.492
71.9352950,-157.1142600,1.561
71.9353288,-157.1143158,1.661
71.9353626,-157.1143715,1.793
71.9353964,-157.1144273,1.962
71.9354303,-157.1144831,2.164
71.9354641,-157.1145389,2.393
71.9354980,-157.1145947,2.645
71.9355318,-157.1146505,2.911
71.9355656,-157.1147063,3.163
71.9355993,-157.1147621,3.364
71.9356330,-157.1148180,3.494
71.9356666,-157.1148739,3.555
71.9357002,-157.1149297,3.565
71.9357338,-157.1149856,3.533
71.9357673,-157.1150415,3.450
71.9358008,-157.1150974,3.326
71.9358342,-157.1151534,3.197
71.9358677,-157.1152093,3.072
71.9359011,-157.1152652,2.911
71.9359346,-157.1153211,2.697
71.9359680,-157.1153770,2.463
71.9360015,-157.1154329,2.256
71.9360349,-157.1154888,2.099
71.9360684,-157.1155447,1.986
71.9361018,-157.1156005,1.885
71.9361353,-157.1156563,1.780
71.9361687,-157.1157121,1.685
71.9362021,-157.1157679,1.606
71.9362354,-157.1158236,1.538
71.9362687,-157.1158793,1.490
71.9363020,-157.1159350,1.473
71.9363352,-157.1159906,1.481
71.9363683,-157.1160462,1.508
71.9364015,-157.1161017,1.546
71.9364345,-157.1161572,1.585
71.9364676,-157.1162127,1.628
71.9365007,-157.1162682,1.687
71.9365337,-157.1163237,1.782
71.9365668,-157.1163791,1.932
71.9365999,-157.1164346,2.136
71.9366330,-157.1164900,2.361
71.9366662,-157.1165455,2.595
71.9366994,-157.1166009,2.857
71.9367326,-157.1166564,3.131
71.9367658,-157.1167119,3.374
71.9367991,-157.1167674,3.565
71.9368323,-157.1168229,3.723
71.9368655,-157.1168784,3.903
71.9368987,-157.1169339,4.133
71.9369319,-157.1169895,4.296
71.9369650,-157.1170450,4.239
71.9369981,-157.1171006,3.997
71.9370311,-157.1171561,3.745
71.9370640,-157.1172117,3.594
71.9370970,-157.1172672,3.573
71.9371300,-157.1173228,3.619
71.9371629,-157.1173783,3.594
71.9371959,-157.1174338,3.459
71.9372289,-157.1174892,3.332
71.9372619,-157.1175446,3.301
71.9372950,-157.1176000,3.331
71.9373281,-157.1176553,3.378
71.9373614,-157.1177106,3.445
71.9373946,-157.1177658,3.525
71.9374279,-157.1178210,3.569
71.9374612,-157.1178762,3.536
71.9374946,-157.1179314,3.455
71.9375279,-157.1179865,3.384
71.9375613,-157.1180417,3.342
71.9375946,-157.1180968,3.299
71.9376280,-157.1181520,3.223
71.9376613,-157.1182072,3.126
71.9376947,-157.1182624,3.066
71.9377280,-157.1183177,3.089
71.9377613,-157.1183729,3.211
71.9377947,-157.1184282,3.431
71.9378280,-157.1184835,3.715
71.9378615,-157.1185389,3.962
71.9378949,-157.1185942,4.054
71.9379284,-157.1186496,3.987
71.9379620,-157.1187050,3.859
71.9379956,-157.1187604,3.731
71.9380293,-157.1188159,3.594
71.9380631,-157.1188713,3.434
71.9380969,-157.1189268,3.271
71.9381307,-157.1189823,3.139
71.9381646,-157.1190379,3.055
71.9381984,-157.1190934,3.002
71.9382323,-157.1191489,2.923
71.9382662,-157.1192045,2.770
71.9383000,-157.1192600,2.591
71.9383338,-157.1193155,2.489
71.9383676,-157.1193711,2.492
71.9384014,-157.1194266,2.549
71.9384352,-157.1194822,2.599
71.9384689,-157.1195377,2.624
71.9385027,-157.1195932,2.652
71.9385365,-157.1196487,2.715
71.9385703,-157.1197042,2.815
71.9386041,-157.1197596,2.925
71.9386380,-157.1198150,3.014
71.9386719,-157.1198704,3.063
71.9387059,-157.1199257,3.083
71.9387398,-157.1199810,3.088
71.9387738,-157.1200363,3.032
71.9388078,-157.1200916,2.848
71.9388419,-157.1201469,2.582
71.9388759,-157.1202022,2.341
71.9389099,-157.1202575,2.163
71.9389440,-157.1203127,2.030
71.9389780,-157.1203680,1.931
71.9390120,-157.1204233,1.862
71.9390460,-157.1204786,1.815
71.9390800,-157.1205339,1.786
71.9391139,-157.1205891,1.768
71.9391478,-157.1206444,1.763
71.9391817,-157.1206996,1.779
71.9392156,-157.1207548,1.815
71.9392494,-157.1208099,1.840
71.9392832,-157.1208650,1.834
71.9393170,-157.1209200,1.823
71.9393507,-157.1209749,1.853
71.9393844,-157.1210298,1.934
71.9394181,-157.1210846,2.043
71.9394517,-157.1211394,2.156
71.9394853,-157.1211942,2.265
71.9395189,-157.1212489,2.364
71.9395525,-157.1213037,2.433
71.9395860,-157.1213584,2.461
71.9396195,-157.1214132,2.470
71.9396530,-157.1214680,2.492
71.9396865,-157.1215228,2.522
71.9397199,-157.1215777,2.522
71.9397534,-157.1216326,2.484
71.9397868,-157.1216876,2.454
71.9398202,-157.1217425,2.466
71.9398536,-157.1217974,2.505
71.9398869,-157.1218524,2.532
71.9399203,-157.1219073,2.525
71.9399537,-157.1219622,2.490
71.9399870,-157.1220170,2.451
71.9400203,-157.1220718,2.441
71.9400537,-157.1221266,2.478
71.9400870,-157.1221813,2.546
71.9401203,-157.1222361,2.625
71.9401536,-157.1222908,2.698
71.9401869,-157.1223456,2.755
71.9402202,-157.1224004,2.818
71.9402534,-157.1224552,2.924
71.9402867,-157.1225101,3.074
71.9403200,-157.1225650,3.213
71.9403533,-157.1226200,3.286
71.9403866,-157.1226751,3.270
71.9404198,-157.1227302,3.185
71.9404531,-157.1227854,3.067
71.9404864,-157.1228406,2.943
71.9405197,-157.1228959,2.841
71.9405530,-157.1229511,2.807
71.9405863,-157.1230064,2.843
71.9406197,-157.1230617,2.862
71.9406530,-157.1231170,2.815
71.9406864,-157.1231723,2.754
71.9407197,-157.1232275,2.714
71.9407531,-157.1232828,2.645
71.9407865,-157.1233380,2.516
71.9408199,-157.1233933,2.401
71.9408533,-157.1234486,2.390
71.9408867,-157.1235039,2.466
71.9409201,-157.1235592,2.529
71.9409536,-157.1236146,2.517
71.9409870,-157.1236700,2.437
71.9410204,-157.1237254,2.338
71.9410539,-157.1237809,2.264
71.9410874,-157.1238364,2.235
71.9411208,-157.1238920,2.246
71.9411543,-157.1239475,2.287
71.9411878,-157.1240030,2.353
71.9412213,-157.1240586,2.452
71.9412549,-157.1241141,2.612
71.9412884,-157.1241696,2.845
71.9413220,-157.1242250,3.097
71.9413556,-157.1242804,3.277
71.9413892,-157.1243357,3.335
71.9414228,-157.1243910,3.300
71.9414565,-157.1244463,3.241
71.9414901,-157.1245015,3.208
71.9415237,-157.1245567,3.181
71.9415573,-157.1246118,3.097
71.9415909,-157.1246669,2.945
71.9416245,-157.1247220,2.778
71.9416580,-157.1247770,2.642
71.9416915,-157.1248320,2.530
71.9417250,-157.1248869,2.431
71.9417584,-157.1249418,2.349
71.9417918,-157.1249967,2.284
71.9418252,-157.1250515,2.215
71.9418586,-157.1251063,2.130
71.9418920,-157.1251610,2.046
71.9419253,-157.1252157,1.986
71.9419587,-157.1252704,1.953
71.9419920,-157.1253250,1.929
71.9420253,-157.1253796,1.891
71.9420587,-157.1254341,1.832
71.9420920,-157.1254886,1.785
71.9421254,-157.1255430,1.774
71.9421587,-157.1255973,1.765
71.9421920,-157.1256516,1.728
71.9422253,-157.1257058,1.694
71.9422585,-157.1257600,1.701
71.9422918,-157.1258140,1.738
71.9423250,-157.1258680,1.775
71.9423582,-157.1259219,1.801
71.9423913,-157.1259757,1.820
71.9424245,-157.1260295,1.834
71.9424576,-157.1260832,1.843
71.9424908,-157.1261368,1.850
71.9425240,-157.1261905,1.855
71.9425572,-157.1262441,1.853
71.9425904,-157.1262977,1.843
71.9426237,-157.1263513,1.834
71.9426570,-157.1264050,1.825
71.9426904,-157.1264587,1.816
71.9427238,-157.1265124,1.808
71.9427573,-157.1265661,1.805
71.9427909,-157.1266198,1.805
71.9428244,-157.1266736,1.813
71.9428580,-157.1267273,1.833
71.9428915,-157.1267810,1.854
71.9429250,-157.1268347,1.863
71.9429585,-157.1268884,1.860
71.9429920,-157.1269420,1.853
71.9430254,-157.1269956,1.853
71.9430588,-157.1270491,1.856
71.9430921,-157.1271027,1.848
71.9431254,-157.1271562,1.834
71.9431587,-157.1272097,1.821
71.9431920,-157.1272633,1.810
71.9432252,-157.1273169,1.808
71.9432585,-157.1273705,1.814
71.9432917,-157.1274242,1.813
71.9433250,-157.1274780,1.807
71.9433583,-157.1275319,1.810
71.9433916,-157.1275858,1.818
71.9434249,-157.1276399,1.819
71.9434582,-157.1276940,1.814
71.9434915,-157.1277482,1.819
71.9435248,-157.1278024,1.845
71.9435581,-157.1278568,1.877
71.9435914,-157.1279111,1.888
71.9436247,-157.1279655,1.878
71.9436580,-157.1280200,1.874
71.9436913,-157.1280745,1.883
71.9437245,-157.1281290,1.898
71.9437578,-157.1281836,1.913
71.9437910,-157.1282383,1.905
71.9438242,-157.1282930,1.857
71.9438574,-157.1283478,1.807
71.9438906,-157.1284027,1.801
71.9439237,-157.1284577,1.818
71.9439569,-157.1285128,1.819
71.9439900,-157.1285680,1.798
71.9440231,-157.1286233,1.775
71.9440562,-157.1286787,1.764
71.9440893,-157.1287342,1.759
71.9441223,-157.1287898,1.750
71.9441554,-157.1288455,1.744
71.9441884,-157.1289013,1.769
71.9442213,-157.1289571,1.828
71.9442542,-157.1290130,1.890
71.9442871,-157.1290690,1.933
71.9443200,-157.1291250,1.959
71.9443528,-157.1291810,1.969
71.9443856,-157.1292371,1.977
71.9444183,-157.1292933,2.007
71.9444511,-157.1293495,2.066
71.9444838,-157.1294057,2.142
71.9445164,-157.1294621,2.207
71.9445491,-157.1295184,2.258
71.9445817,-157.1295749,2.338
71.9446144,-157.1296314,2.459
71.9446470,-157.1296880,2.556
71.9446796,-157.1297447,2.554
71.9447123,-157.1298014,2.454
71.9447449,-157.1298583,2.327
71.9447775,-157.1299152,2.240
71.9448101,-157.1299722,2.215
71.9448427,-157.1300292,2.234
71.9448753,-157.1300863,2.292
71.9449079,-157.1301435,2.400
71.9449404,-157.1302007,2.564
71.9449730,-157.1302580,2.783
71.9450055,-157.1303153,3.063
71.9450381,-157.1303727,3.400
71.9450706,-157.1304301,3.758
71.9451031,-157.1304876,4.085
71.9451356,-157.1305450,4.342
71.9451681,-157.1306025,4.508
71.9452005,-157.1306599,4.579
71.9452330,-157.1307173,4.564
71.9452655,-157.1307747,4.464
71.9452980,-157.1308320,4.283
71.9453305,-157.1308893,4.075
71.9453630,-157.1309465,3.928
71.9453955,-157.1310037,3.837
71.9454280,-157.1310608,3.691
71.9454605,-157.1311179,3.440
71.9454930,-157.1311749,3.150
71.9455255,-157.1312320,2.888
71.9455580,-157.1312890,2.692
71.9455905,-157.1313460,2.596
71.9456230,-157.1314030,2.589
71.9456555,-157.1314600,2.624
71.9456879,-157.1315170,2.670
71.9457204,-157.1315739,2.694
71.9457529,-157.1316309,2.676
71.9457854,-157.1316878,2.652
71.9458179,-157.1317447,2.678
71.9458504,-157.1318016,2.740
71.9458829,-157.1318584,2.782
71.9459154,-157.1319152,2.793
71.9459480,-157.1319720,2.799
71.9459806,-157.1320287,2.789
71.9460132,-157.1320854,2.737
71.9460459,-157.1321420,2.657
71.9460786,-157.1321986,2.571
71.9461113,-157.1322551,2.474
71.9461440,-157.1323116,2.348
71.9461767,-157.1323680,2.201
71.9462095,-157.1324244,2.073
71.9462422,-157.1324807,1.988
71.9462750,-157.1325370,1.938
71.9463078,-157.1325932,1.912
71.9463405,-157.1326494,1.900
71.9463733,-157.1327055,1.881
71.9464061,-157.1327616,1.847
71.9464389,-157.1328177,1.827
71.9464717,-157.1328737,1.841
71.9465045,-157.1329298,1.879
71.9465373,-157.1329858,1.922
71.9465702,-157.1330419,1.957
71.9466030,-157.1330980,1.978
71.9466358,-157.1331541,1.985
71.9466687,-157.1332103,1.987
71.9467016,-157.1332664,1.995
71.9467345,-157.1333226,2.003
71.9467674,-157.1333788,2.008
71.9468003,-157.1334350,2.029
71.9468332,-157.1334913,2.056
71.9468661,-157.1335475,2.041
71.9468990,-157.1336038,1.976
71.9469320,-157.1336600,1.896
71.9469650,-157.1337163,1.827
71.9469979,-157.1337725,1.773
71.9470309,-157.1338288,1.728
71.9470639,-157.1338850,1.679
71.9470969,-157.1339413,1.624
71.9471299,-157.1339976,1.576
71.9471629,-157.1340539,1.554
71.9471960,-157.1341103,1.545
71.9472290,-157.1341666,1.532
71.9472620,-157.1342230,1.526
71.9472950,-157.1342794,1.545
71.9473281,-157.1343358,1.593
71.9473611,-157.1343923,1.680
71.9473942,-157.1344487,1.817
71.9474272,-157.1345052,1.990
71.9474603,-157.1345616,2.173
71.9474934,-157.1346180,2.337
71.9475266,-157.1346744,2.442
71.9475598,-157.1347307,2.466
71.9475930,-157.1347870,2.438
71.9476263,-157.1348432,2.380
71.9476596,-157.1348994,2.255
71.9476929,-157.1349556,2.053
71.9477263,-157.1350117,1.859
71.9477597,-157.1350678,1.736
71.9477931,-157.1351238,1.665
71.9478265,-157.1351799,1.624
71.9478600,-157.1352359,1.616
71.9478935,-157.1352920,1.633
71.9479270,-157.1353480,1.654
71.9479605,-157.1354040,1.668
71.9479941,-157.1354601,1.693
71.9480276,-157.1355161,1.734
71.9480611,-157.1355721,1.764
71.9480947,-157.1356281,1.766
71.9481282,-157.1356840,1.746
71.9481617,-157.1357399,1.717
71.9481952,-157.1357957,1.696
71.9482286,-157.1358514,1.716
71.9482620,-157.1359070,1.779
71.9482954,-157.1359625,1.849
71.9483287,-157.1360179,1.912
71.9483620,-157.1360732,1.985
71.9483953,-157.1361284,2.073
71.9484286,-157.1361835,2.150
71.9484618,-157.1362384,2.202
71.9484951,-157.1362933,2.271
71.9485284,-157.1363480,2.390
71.9485617,-157.1364025,2.532
71.9485950,-157.1364570,2.665
71.9486283,-157.1365113,2.791
71.9486617,-157.1365655,2.883
71.9486951,-157.1366196,2.872
71.9487286,-157.1366736,2.751
71.9487621,-157.1367274,2.614
71.9487956,-157.1367811,2.545
71.9488291,-157.1368347,2.563
71.9488627,-157.1368883,2.674
71.9488963,-157.1369417,2.872
71.9489300,-157.1369950,3.096
71.9489637,-157.1370482,3.261
71.9489974,-157.1371014,3.366
71.9490312,-157.1371544,3.448
71.9490649,-157.1372073,3.452
71.9490987,-157.1372602,3.279
71.9491324,-157.1373129,2.962
71.9491661,-157.1373656,2.668
71.9491998,-157.1374182,2.509
71.9492334,-157.1374706,2.440
71.9492670,-157.1375230,2.361
71.9493005,-157.1375753,2.251
71.9493340,-157.1376275,2.156
71.9493674,-157.1376795,2.126
71.9494009,-157.1377316,2.175
71.9494343,-157.1377835,2.263
71.9494677,-157.1378353,2.302
71.9495012,-157.1378871,2.247
71.9495347,-157.1379388,2.150
71.9495683,-157.1379904,2.089
71.9496020,-157.1380420,2.061
71.9496358,-157.1380935,2.032
71.9496696,-157.1381450,2.011
71.9497036,-157.1381964,2.025
71.9497375,-157.1382477,2.052
71.9497716,-157.1382990,2.045
71.9498057,-157.1383503,1.993
71.9498397,-157.1384015,1.931
71.9498738,-157.1384527,1.888
71.9499079,-157.1385039,1.859
71.9499420,-157.1385550,1.831
71.9499760,-157.1386061,1.807
71.9500101,-157.1386572,1.801
71.9500440,-157.1387082,1.817
71.9500780,-157.1387592,1.845
71.9501120,-157.1388102,1.891
71.9501460,-157.1388612,1.962
71.9501800,-157.1389122,2.055
71.9502139,-157.1389631,2.172
71.9502480,-157.1390141,2.318
71.9502820,-157.1390650,2.465
71.9503161,-157.1391159,2.572
71.9503502,-157.1391668,2.626
71.9503843,-157.1392177,2.635
71.9504184,-157.1392686,2.604
71.9504525,-157.1393196,2.539
71.9504867,-157.1393706,2.457
71.9505208,-157.1394216,2.365
71.9505549,-157.1394727,2.254
71.9505890,-157.1395238,2.135
71.9506230,-157.1395750,2.033
71.9506570,-157.1396263,1.970
71.9506910,-157.1396776,1.940
71.9507249,-157.1397290,1.931
71.9507589,-157.1397805,1.946
71.9507928,-157.1398320,1.992
71.9508266,-157.1398836,2.063
71.9508605,-157.1399351,2.124
71.9508943,-157.1399868,2.136
71.9509282,-157.1400384,2.103
71.9509620,-157.1400900,2.065
71.9509958,-157.1401416,2.047
71.9510296,-157.1401933,2.044
71.9510635,-157.1402449,2.051
71.9510973,-157.1402966,2.068
71.9511311,-157.1403484,2.083
71.9511649,-157.1404001,2.080
71.9511987,-157.1404520,2.071
71.9512324,-157.1405039,2.092
71.9512662,-157.1405559,2.165
71.9513000,-157.1406080,2.281
71.9513338,-157.1406602,2.414
71.9513675,-157.1407125,2.553
71.9514013,-157.1407649,2.705
71.9514350,-157.1408173,2.872
71.9514687,-157.1408698,3.061
71.9515025,-157.1409224,3.319
71.9515361,-157.1409750,3.646
71.9515698,-157.1410276,3.927
71.9516034,-157.1410803,4.067
71.9516370,-157.1411330,4.107
71.9516706,-157.1411857,4.128
71.9517041,-157.1412384,4.148
71.9517376,-157.1412911,4.163
71.9517711,-157.1413438,4.165
71.9518046,-157.1413965,4.123
71.9518380,-157.1414492,4.016
71.9518715,-157.1415019,3.847
71.9519050,-157.1415546,3.638
71.9519385,-157.1416073,3.409
71.9519720,-157.1416600,3.170
71.9520055,-157.1417127,2.937
71.9520391,-157.1417654,2.735
71.9520727,-157.1418181,2.559
71.9521063,-157.1418708,2.376
71.9521399,-157.1419235,2.172
71.9521735,-157.1419762,1.985
71.9522071,-157.1420289,1.858
71.9522407,-157.1420816,1.794
71.9522744,-157.1421343,1.757
71.9523080,-157.1421870,1.707
71.9523416,-157.1422397,1.644
71.9523753,-157.1422924,1.597
71.9524089,-157.1423450,1.575
71.9524426,-157.1423977,1.556
71.9524763,-157.1424503,1.534
71.9525099,-157.1425029,1.519
71.9525437,-157.1425555,1.514
71.9525774,-157.1426080,1.520
71.9526112,-157.1426605,1.543
71.9526450,-157.1427130,1.580
71.9526789,-157.1427654,1.625
71.9527127,-157.1428178,1.700
71.9527467,-157.1428702,1.829
71.9527806,-157.1429225,1.995
71.9528146,-157.1429747,2.185
71.9528487,-157.1430269,2.416
71.9528827,-157.1430790,2.683
71.9529168,-157.1431311,2.961
71.9529509,-157.1431831,3.222
71.9529850,-157.1432350,3.425
71.9530191,-157.1432868,3.542
71.9530533,-157.1433386,3.590
71.9530875,-157.1433903,3.622
71.9531217,-157.1434419,3.672
71.9531559,-157.1434934,3.687
71.9531901,-157.1435449,3.575
71.9532243,-157.1435963,3.374
71.9532585,-157.1436476,3.230
71.9532928,-157.1436988,3.171
71.9533270,-157.1437500,3.052
71.9533612,-157.1438011,2.798
71.9533955,-157.1438521,2.514
71.9534298,-157.1439031,2.307
71.9534640,-157.1439539,2.173
71.9534983,-157.1440048,2.085
71.9535326,-157.1440555,2.054
71.9535669,-157.1441062,2.073
71.9536013,-157.1441569,2.110
71.9536356,-157.1442075,2.157
71.9536700,-157.1442580,2.244
71.9537044,-157.1443085,2.382
71.9537389,-157.1443589,2.529
71.9537733,-157.1444093,2.645
71.9538078,-157.1444596,2.731
71.9538423,-157.1445099,2.784
71.9538768,-157.1445601,2.785
71.9539114,-157.1446102,2.747
71.9539459,-157.1446602,2.710
71.9539804,-157.1447101,2.685
71.9540150,-157.1447600,2.636
71.9540496,-157.1448098,2.524
71.9540841,-157.1448595,2.341
71.9541187,-157.1449091,2.140
71.9541532,-157.1449586,1.992
71.9541877,-157.1450081,1.923
71.9542222,-157.1450576,1.908
71.9542567,-157.1451070,1.919
71.9542912,-157.1451563,1.957
71.9543256,-157.1452057,2.038
71.9543600,-157.1452550,2.133
71.9543944,-157.1453043,2.191
71.9544287,-157.1453536,2.202
71.9544630,-157.1454029,2.200
71.9544972,-157.1454522,2.216
71.9545315,-157.1455015,2.254
71.9545658,-157.1455508,2.316
71.9546001,-157.1456001,2.423
71.9546343,-157.1456494,2.575
71.9546687,-157.1456987,2.714
71.9547030,-157.1457480,2.824
71.9547374,-157.1457973,2.994
71.9547718,-157.1458467,3.226
71.9548062,-157.1458961,3.322
71.9548406,-157.1459454,3.149
71.9548751,-157.1459948,2.831
71.9549095,-157.1460442,2.559
71.9549439,-157.1460937,2.375
71.9549783,-157.1461431,2.226
71.9550127,-157.1461925,2.080
71.9550470,-157.1462420,1.940
71.9550813,-157.1462915,1.818
71.9551155,-157.1463410,1.722
71.9551497,-157.1463905,1.654
71.9551838,-157.1464400,1.608
71.9552179,-157.1464895,1.580
71.9552520,-157.1465391,1.575
71.9552860,-157.1465888,1.590
71.9553200,-157.1466385,1.611
71.9553540,-157.1466882,1.633
71.9553880,-157.1467380,1.663
71.9554220,-157.1467879,1.694
71.9554559,-157.1468378,1.706
71.9554898,-157.1468877,1.692
71.9555238,-157.1469377,1.670
71.9555578,-157.1469877,1.653
71.9555917,-157.1470378,1.635
71.9556257,-157.1470878,1.610
71.9556598,-157.1471379,1.588
71.9556939,-157.1471879,1.582
71.9557280,-157.1472380,1.588
71.9557622,-157.1472880,1.599
71.9557964,-157.1473381,1.612
71.9558307,-157.1473881,1.623
71.9558649,-157.1474381,1.627
71.9558992,-157.1474881,1.627
71.9559335,-157.1475381,1.627
71.9559677,-157.1475880,1.629
71.9560018,-157.1476380,1.633
71.9560360,-157.1476880,1.633
71.9560700,-157.1477380,1.627
71.9561040,-157.1477880,1.621
71.9561378,-157.1478380,1.619
71.9561717,-157.1478880,1.605
71.9562054,-157.1479379,1.575
71.9562392,-157.1479879,1.559
71.9562729,-157.1480378,1.579
71.9563066,-157.1480876,1.618
71.9563404,-157.1481375,1.645
71.9563742,-157.1481873,1.658
71.9564080,-157.1482370,1.675
71.9564419,-157.1482867,1.700
71.9564758,-157.1483363,1.731
71.9565098,-157.1483859,1.772
71.9565438,-157.1484355,1.808
71.9565778,-157.1484850,1.809
71.9566119,-157.1485346,1.776
71.9566459,-157.1485841,1.731
71.9566800,-157.1486337,1.693
71.9567140,-157.1486833,1.671
71.9567480,-157.1487330,1.650
71.9567820,-157.1487827,1.611
71.9568159,-157.1488325,1.570
71.9568499,-157.1488823,1.553
71.9568838,-157.1489321,1.554
71.9569177,-157.1489819,1.551
71.9569516,-157.1490316,1.556
71.9569854,-157.1490813,1.583
71.9570193,-157.1491310,1.608
71.9570532,-157.1491805,1.607
71.9570870,-157.1492300,1.592
71.9571208,-157.1492793,1.591
71.9571547,-157.1493286,1.603
71.9571885,-157.1493777,1.603
71.9572224,-157.1494267,1.597
71.9572562,-157.1494757,1.617
71.9572900,-157.1495246,1.670
71.9573238,-157.1495735,1.728
71.9573575,-157.1496224,1.778
71.9573913,-157.1496712,1.818
71.9574250,-157.1497200,1.851
71.9574587,-157.1497688,1.865
71.9574924,-157.1498176,1.844
71.9575260,-157.1498665,1.788
71.9575597,-157.1499153,1.735
71.9575933,-157.1499641,1.726
71.9576270,-157.1500129,1.756
71.9576607,-157.1500617,1.793
71.9576944,-157.1501105,1.820
71.9577282,-157.1501592,1.849
71.9577620,-157.1502080,1.887
71.9577959,-157.1502567,1.943
71.9578298,-157.1503054,2.038
71.9578637,-157.1503541,2.179
71.9578977,-157.1504028,2.335
71.9579317,-157.1504515,2.486
71.9579658,-157.1505002,2.639
71.9579998,-157.1505489,2.788
71.9580339,-157.1505976,2.916
71.9580680,-157.1506463,3.008
71.9581020,-157.1506950,3.013
71.9581360,-157.1507437,2.901
71.9581701,-157.1507925,2.719
71.9582041,-157.1508412,2.520
71.9582381,-157.1508899,2.300
71.9582721,-157.1509387,2.038
71.9583060,-157.1509874,1.739
71.9583400,-157.1510361,1.447
71.9583740,-157.1510848,1.215
71.9584080,-157.1511334,1.066
71.9584420,-157.1511820,0.978
71.9584760,-157.1512306,0.914
71.9585100,-157.1512791,0.861
71.9585440,-157.1513276,0.827
71.9585780,-157.1513761,0.807
71.9586120,-157.1514247,0.791
71.9586460,-157.1514732,0.770
71.9586800,-157.1515218,0.736
71.9587140,-157.1515705,0.702
71.9587480,-157.1516192,0.688
71.9587820,-157.1516680,0.698
71.9588160,-157.1517169,0.717
71.9588500,-157.1517659,0.735
71.9588839,-157.1518150,0.752
71.9589179,-157.1518641,0.757
71.9589519,-157.1519133,0.739
71.9589859,-157.1519626,0.724
71.9590199,-157.1520119,0.729
71.9590539,-157.1520612,0.728
71.9590879,-157.1521106,0.697
71.9591220,-157.1521600,0.658
71.9591561,-157.1522094,0.640
71.9591902,-157.1522588,0.644
71.9592243,-157.1523082,0.657
71.9592583,-157.1523577,0.673
71.9592924,-157.1524071,0.687
71.9593264,-157.1524566,0.701
71.9593604,-157.1525062,0.721
71.9593944,-157.1525557,0.755
71.9594282,-157.1526053,0.785
71.9594620,-157.1526550,0.781
71.9594957,-157.1527047,0.752
71.9595293,-157.1527545,0.740
71.9595629,-157.1528043,0.757
71.9595964,-157.1528541,0.773
71.9596300,-157.1529041,0.761
71.9596635,-157.1529541,0.732
71.9596970,-157.1530042,0.723
71.9597306,-157.1530544,0.741
71.9597643,-157.1531046,0.763
71.9597980,-157.1531550,0.768
71.9598318,-157.1532055,0.762
71.9598657,-157.1532560,0.781
71.9598996,-157.1533066,0.840
71.9599336,-157.1533573,0.909
71.9599676,-157.1534080,0.957
71.9600016,-157.1534588,0.985
71.9600355,-157.1535096,1.003
71.9600694,-157.1535604,1.013
71.9601033,-157.1536112,1.024
71.9601370,-157.1536620,1.037
71.9601706,-157.1537128,1.039
71.9602042,-157.1537635,1.019
71.9602376,-157.1538143,0.983
71.9602710,-157.1538651,0.932
71.9603043,-157.1539158,0.875
71.9603375,-157.1539666,0.825
71.9603707,-157.1540174,0.777
71.9604038,-157.1540682,0.718
71.9604369,-157.1541191,0.667
71.9604700,-157.1541700,0.656
71.9605031,-157.1542210,0.677
71.9605361,-157.1542720,0.697
71.9605691,-157.1543230,0.699
71.9606021,-157.1543740,0.691
71.9606351,-157.1544251,0.683
71.9606681,-157.1544761,0.673
71.9607011,-157.1545272,0.663
71.9607341,-157.1545782,0.670
71.9607670,-157.1546291,0.689
71.9608000,-157.1546800,0.698
71.9608329,-157.1547308,0.688
71.9608659,-157.1547816,0.668
71.9608988,-157.1548323,0.645
71.9609318,-157.1548829,0.630
71.9609648,-157.1549335,0.623
71.9609977,-157.1549839,0.617
71.9610308,-157.1550343,0.615
71.9610638,-157.1550846,0.632
71.9610969,-157.1551349,0.672
71.9611300,-157.1551850,0.715
71.9611632,-157.1552351,0.732
71.9611964,-157.1552850,0.722
71.9612296,-157.1553349,0.699
71.9612629,-157.1553847,0.676
71.9612962,-157.1554344,0.666
71.9613295,-157.1554841,0.676
71.9613629,-157.1555337,0.690
71.9613962,-157.1555832,0.690
71.9614296,-157.1556326,0.676
71.9614630,-157.1556820,0.669
71.9614964,-157.1557313,0.673
71.9615298,-157.1557806,0.674
71.9615632,-157.1558297,0.673
71.9615966,-157.1558789,0.678
71.9616300,-157.1559279,0.688
71.9616634,-157.1559769,0.703
71.9616968,-157.1560258,0.708
71.9617302,-157.1560746,0.686
71.9617636,-157.1561233,0.659
71.9617970,-157.1561720,0.664
71.9618304,-157.1562206,0.699
71.9618638,-157.1562691,0.725
71.9618973,-157.1563175,0.722
71.9619307,-157.1563659,0.696
71.9619642,-157.1564142,0.675
71.9619977,-157.1564625,0.679
71.9620312,-157.1565107,0.697
71.9620648,-157.1565588,0.705
71.9620984,-157.1566069,0.697
