,,
,,
Latitude,Longitude,thickness (m)
71.5065293,-156.4837318,0.969
71.5065542,-156.4837781,0.953
71.5065791,-156.4838244,0.946
71.5066041,-156.4838708,0.961
71.5066290,-156.4839171,0.983
71.5066539,-156.4839634,0.989
71.5066788,-156.4840097,0.976
71.5067036,-156.4840560,0.963
71.5067285,-156.4841024,0.966
71.5067534,-156.4841487,0.988
71.5067782,-156.4841950,1.009
71.5068031,-156.4842413,1.009
71.5068279,-156.4842876,0.996
71.5068528,-156.4843339,0.982
71.5068776,-156.4843802,0.965
71.5069024,-156.4844265,0.944
71.5069272,-156.4844728,0.921
71.5069520,-156.4845191,0.896
71.5069768,-156.4845654,0.870
71.5070016,-156.4846117,0.844
71.5070264,-156.4846580,0.808
71.5070512,-156.4847043,0.757
71.5070760,-156.4847506,0.702
71.5071007,-156.4847969,0.647
71.5071255,-156.4848432,0.579
71.5071502,-156.4848895,0.504
71.5071749,-156.4849358,0.439
71.5071997,-156.4849820,0.395
71.5072244,-156.4850283,0.362
71.5072491,-156.4850746,0.332
71.5072738,-156.4851209,0.299
71.5072985,-156.4851672,0.271
71.5073232,-156.4852134,0.255
71.5073479,-156.4852597,0.248
71.5073725,-156.4853060,0.238
71.5073972,-156.4853522,0.228
71.5074218,-156.4853985,0.226
71.5074465,-156.4854448,0.240
71.5074711,-156.4854910,0.272
71.5074958,-156.4855373,0.320
71.5075204,-156.4855836,0.385
71.5075450,-156.4856298,0.465
71.5075696,-156.4856761,0.555
71.5075942,-156.4857223,0.641
71.5076188,-156.4857686,0.713
71.5076434,-156.4858148,0.777
71.5076679,-156.4858611,0.844
71.5076925,-156.4859073,0.905
71.5077171,-156.4859536,0.949
71.5077416,-156.4859998,0.975
71.5077662,-156.4860461,0.992
71.5077907,-156.4860923,1.007
71.5078152,-156.4861385,1.023
71.5078397,-156.4861848,1.038
71.5078642,-156.4862310,1.055
71.5078887,-156.4862772,1.078
71.5079132,-156.4863235,1.108
71.5079377,-156.4863697,1.134
71.5079622,-156.4864159,1.155
71.5079867,-156.4864621,1.182
71.5080111,-156.4865084,1.225
71.5080356,-156.4865546,1.285
71.5080600,-156.4866008,1.359
71.5080845,-156.4866470,1.435
71.5081089,-156.4866932,1.513
71.5081333,-156.4867394,1.608
71.5081577,-156.4867857,1.721
71.5081822,-156.4868319,1.813
71.5082065,-156.4868781,1.841
71.5082309,-156.4869243,1.827
71.5082553,-156.4869705,1.822
71.5082797,-156.4870167,1.813
71.5083041,-156.4870629,1.764
71.5083284,-156.4871091,1.704
71.5083528,-156.4871553,1.675
71.5083771,-156.4872015,1.662
71.5084014,-156.4872476,1.628
71.5084258,-156.4872938,1.571
71.5084501,-156.4873400,1.519
71.5084744,-156.4873862,1.498
71.5084987,-156.4874324,1.510
71.5085230,-156.4874786,1.520
71.5085473,-156.4875247,1.485
71.5085715,-156.4875709,1.417
71.5085958,-156.4876171,1.365
71.5086201,-156.4876633,1.354
71.5086443,-156.4877094,1.358
71.5086686,-156.4877556,1.355
71.5086928,-156.4878018,1.358
71.5087170,-156.4878479,1.372
71.5087413,-156.4878941,1.365
71.5087655,-156.4879402,1.313
71.5087897,-156.4879864,1.234
71.5088139,-156.4880325,1.132
71.5088381,-156.4880787,0.990
71.5088622,-156.4881248,0.825
71.5088864,-156.4881710,0.675
71.5089106,-156.4882171,0.549
71.5089347,-156.4882633,0.437
71.5089589,-156.4883094,0.350
71.5089830,-156.4883556,0.295
71.5090072,-156.4884017,0.265
71.5090313,-156.4884478,0.244
71.5090554,-156.4884940,0.230
71.5090795,-156.4885401,0.222
71.5091036,-156.4885862,0.222
71.5091277,-156.4886323,0.237
71.5091518,-156.4886785,0.264
71.5091758,-156.4887246,0.296
71.5091999,-156.4887707,0.327
71.5092240,-156.4888168,0.361
71.5092480,-156.4888629,0.412
71.5092721,-156.4889090,0.482
71.5092961,-156.4889551,0.555
71.5093201,-156.4890013,0.612
71.5093441,-156.4890474,0.656
71.5093681,-156.4890935,0.698
71.5093921,-156.4891396,0.736
71.5094161,-156.4891857,0.772
71.5094401,-156.4892318,0.820
71.5094641,-156.4892778,0.888
71.5094881,-156.4893239,0.962
71.5095120,-156.4893700,1.031
71.5095360,-156.4894161,1.103
71.5095599,-156.4894622,1.176
71.5095839,-156.4895083,1.233
71.5096078,-156.4895544,1.259
71.5096317,-156.4896004,1.256
71.5096556,-156.4896465,1.236
71.5096795,-156.4896926,1.214
71.5097034,-156.4897386,1.194
71.5097273,-156.4897847,1.173
71.5097512,-156.4898308,1.149
71.5097750,-156.4898768,1.129
71.5097989,-156.4899229,1.119
71.5098228,-156.4899690,1.110
71.5098466,-156.4900150,1.099
71.5098704,-156.4900611,1.090
71.5098943,-156.4901071,1.087
71.5099181,-156.4901532,1.094
71.5099419,-156.4901992,1.116
71.5099657,-156.4902452,1.149
71.5099895,-156.4902913,1.189
71.5100133,-156.4903373,1.226
71.5100371,-156.4903834,1.244
71.5100609,-156.4904294,1.243
71.5100846,-156.4904754,1.253
71.5101084,-156.4905214,1.290
71.5101321,-156.4905675,1.329
71.5101559,-156.4906135,1.341
71.5101796,-156.4906595,1.333
71.5102033,-156.4907055,1.332
71.5102270,-156.4907515,1.343
71.5102507,-156.4907976,1.338
71.5102744,-156.4908436,1.306
71.5102981,-156.4908896,1.274
71.5103218,-156.4909356,1.269
71.5103455,-156.4909816,1.284
71.5103691,-156.4910276,1.304
71.5103928,-156.4910736,1.329
71.5104164,-156.4911196,1.352
71.5104401,-156.4911656,1.370
71.5104637,-156.4912116,1.385
71.5104873,-156.4912575,1.390
71.5105110,-156.4913035,1.379
71.5105346,-156.4913495,1.363
71.5105582,-156.4913955,1.347
71.5105818,-156.4914415,1.316
71.5106053,-156.4914874,1.265
71.5106289,-156.4915334,1.197
71.5106525,-156.4915794,1.088
71.5106760,-156.4916253,0.918
71.5106996,-156.4916713,0.737
71.5107231,-156.4917173,0.603
71.5107467,-156.4917632,0.507
71.5107702,-156.4918092,0.419
71.5107937,-156.4918551,0.332
71.5108172,-156.4919011,0.258
71.5108407,-156.4919470,0.205
71.5108642,-156.4919930,0.172
71.5108877,-156.4920389,0.152
71.5109112,-156.4920848,0.141
71.5109346,-156.4921308,0.134
71.5109581,-156.4921767,0.128
71.5109815,-156.4922226,0.122
71.5110050,-156.4922686,0.119
71.5110284,-156.4923145,0.117
71.5110518,-156.4923604,0.117
71.5110752,-156.4924063,0.121
71.5110987,-156.4924523,0.131
71.5111221,-156.4924982,0.145
71.5111454,-156.4925441,0.166
71.5111688,-156.4925900,0.196
71.5111922,-156.4926359,0.229
71.5112156,-156.4926818,0.249
71.5112389,-156.4927277,0.266
71.5112623,-156.4927736,0.321
71.5112856,-156.4928195,0.426
71.5113090,-156.4928654,0.496
71.5113323,-156.4929113,0.461
71.5113556,-156.4929572,0.377
71.5113789,-156.4930030,0.325
71.5114022,-156.4930489,0.304
71.5114255,-156.4930948,0.288
71.5114488,-156.4931407,0.271
71.5114721,-156.4931865,0.253
71.5114953,-156.4932324,0.234
71.5115186,-156.4932783,0.222
71.5115418,-156.4933241,0.219
71.5115651,-156.4933700,0.222
71.5115883,-156.4934159,0.231
71.5116115,-156.4934617,0.246
71.5116348,-156.4935076,0.259
71.5116580,-156.4935534,0.265
71.5116812,-156.4935993,0.268
71.5117044,-156.4936451,0.276
71.5117275,-156.4936910,0.286
71.5117507,-156.4937368,0.294
71.5117739,-156.4937826,0.303
71.5117970,-156.4938285,0.317
71.5118202,-156.4938743,0.331
71.5118433,-156.4939201,0.338
71.5118665,-156.4939659,0.338
71.5118896,-156.4940118,0.331
71.5119127,-156.4940576,0.324
71.5119358,-156.4941034,0.323
71.5119589,-156.4941492,0.329
71.5119820,-156.4941950,0.337
71.5120051,-156.4942408,0.341
71.5120282,-156.4942866,0.336
71.5120512,-156.4943324,0.327
71.5120743,-156.4943782,0.323
71.5120973,-156.4944240,0.325
71.5121204,-156.4944698,0.324
71.5121434,-156.4945155,0.316
71.5121664,-156.4945613,0.299
71.5121895,-156.4946070,0.279
71.5122125,-156.4946528,0.264
71.5122355,-156.4946985,0.256
71.5122585,-156.4947443,0.250
71.5122815,-156.4947900,0.241
71.5123045,-156.4948357,0.229
71.5123275,-156.4948814,0.218
71.5123505,-156.4949270,0.214
71.5123734,-156.4949727,0.209
71.5123964,-156.4950183,0.196
71.5124194,-156.4950640,0.183
71.5124423,-156.4951096,0.179
71.5124653,-156.4951552,0.179
71.5124883,-156.4952007,0.173
71.5125112,-156.4952463,0.163
71.5125342,-156.4952918,0.154
71.5125571,-156.4953373,0.141
71.5125800,-156.4953828,0.121
71.5129469,-156.4961073,0.049
71.5129698,-156.4961523,0.048
71.5129927,-156.4961973,0.045
71.5130156,-156.4962423,0.050
71.5130386,-156.4962872,0.066
71.5130615,-156.4963321,0.076
71.5130844,-156.4963769,0.062
71.5131073,-156.4964218,0.035
71.5131303,-156.4964665,0.017
71.5131532,-156.4965113,0.016
71.5131761,-156.4965560,0.021
71.5131991,-156.4966006,0.019
71.5132220,-156.4966452,0.011
71.5132450,-156.4966898,0.003
71.5132679,-156.4967343,0.001
71.5132909,-156.4967788,0.007
71.5133138,-156.4968233,0.014
71.5133368,-156.4968677,0.020
71.5133598,-156.4969120,0.026
71.5133827,-156.4969563,0.033
71.5134057,-156.4970006,0.036
71.5134287,-156.4970448,0.036
71.5134516,-156.4970889,0.037
71.5134746,-156.4971330,0.043
71.5134976,-156.4971771,0.055
71.5135206,-156.4972211,0.063
71.5135436,-156.4972651,0.063
71.5135666,-156.4973090,0.057
71.5135897,-156.4973528,0.051
71.5136127,-156.4973966,0.045
71.5136357,-156.4974404,0.036
71.5136587,-156.4974841,0.022
71.5136818,-156.4975277,0.015
71.5137048,-156.4975713,0.019
71.5137279,-156.4976148,0.027
71.5137510,-156.4976583,0.031
71.5137740,-156.4977017,0.036
71.5137971,-156.4977450,0.042
71.5138202,-156.4977883,0.046
71.5138433,-156.4978316,0.048
71.5138664,-156.4978747,0.049
71.5138895,-156.4979178,0.045
71.5139127,-156.4979609,0.040
71.5139358,-156.4980038,0.043
71.5139589,-156.4980467,0.056
71.5139821,-156.4980896,0.067
71.5140053,-156.4981324,0.062
71.5140284,-156.4981751,0.048
71.5140516,-156.4982177,0.043
71.5140748,-156.4982603,0.052
71.5140980,-156.4983028,0.066
71.5141212,-156.4983453,0.078
71.5141445,-156.4983876,0.084
71.5141677,-156.4984299,0.084
71.5141910,-156.4984722,0.077
71.5142142,-156.4985143,0.068
71.5142375,-156.4985564,0.060
71.5142608,-156.4985984,0.054
71.5142841,-156.4986404,0.049
71.5143074,-156.4986822,0.042
