latitude,longitude,SSMI x-location (km),SSMI y-location (km),thickness,,
76.485,-25.641,487.5,"-1,387.5","9,999",,
76.408,-24.727,512.5,"-1,387.5","9,999",,
76.327,-23.824,537.5,"-1,387.5","9,999",,
76.243,-22.932,562.5,"-1,387.5","9,999",,
76.156,-22.051,587.5,"-1,387.5","9,999",,
76.066,-21.181,612.5,"-1,387.5",-1,,
75.972,-20.323,637.5,"-1,387.5","9,999",,
75.876,-19.477,662.5,"-1,387.5","9,999",,
75.776,-18.642,687.5,"-1,387.5","9,999",,
75.674,-17.819,712.5,"-1,387.5",-1,,
75.569,-17.008,737.5,"-1,387.5",-1,,
75.461,-16.209,762.5,"-1,387.5",-1,,
75.35,-15.422,787.5,"-1,387.5",-1,,
75.236,-14.647,812.5,"-1,387.5",-1,,
75.12,-13.885,837.5,"-1,387.5",-1,,
75.002,-13.134,862.5,"-1,387.5",-1,,
74.881,-12.395,887.5,"-1,387.5",-1,,
74.757,-11.669,912.5,"-1,387.5",-1,,
74.631,-10.954,937.5,"-1,387.5",-1,,
74.503,-10.251,962.5,"-1,387.5",-1,,
74.373,-9.56,987.5,"-1,387.5",-1,,
74.24,-8.881,"1,012.5","-1,387.5",-1,,
74.106,-8.213,"1,037.5","-1,387.5",-1,,
73.969,-7.556,"1,062.5","-1,387.5",-1,,
73.83,-6.911,"1,087.5","-1,387.5",-1,,
73.69,-6.277,"1,112.5","-1,387.5",-1,,
73.547,-5.654,"1,137.5","-1,387.5",-1,,
73.403,-5.042,"1,162.5","-1,387.5",-1,,
73.257,-4.441,"1,187.5","-1,387.5",-1,,
65.775,-104.221,"-2,287.5","-1,362.5","9,999",,
65.964,-103.943,"-2,262.5","-1,362.5","9,999",,
66.154,-103.661,"-2,237.5","-1,362.5","9,999",,
66.343,-103.374,"-2,212.5","-1,362.5","9,999",,
66.531,-103.083,"-2,187.5","-1,362.5","9,999",,
66.719,-102.787,"-2,162.5","-1,362.5","9,999",,
66.906,-102.485,"-2,137.5","-1,362.5","9,999",,
67.093,-102.179,"-2,112.5","-1,362.5","9,999",,
67.279,-101.868,"-2,087.5","-1,362.5","9,999",,
67.465,-101.551,"-2,062.5","-1,362.5","9,999",,
67.65,-101.229,"-2,037.5","-1,362.5","9,999",,
67.835,-100.901,"-2,012.5","-1,362.5","9,999",,
68.019,-100.568,"-1,987.5","-1,362.5",-1,,
68.202,-100.229,"-1,962.5","-1,362.5",-1,,
68.385,-99.884,"-1,937.5","-1,362.5",-1,,
68.567,-99.533,"-1,912.5","-1,362.5",-1,,
68.748,-99.176,"-1,887.5","-1,362.5",-1,,
68.929,-98.813,"-1,862.5","-1,362.5",-1,,
69.109,-98.443,"-1,837.5","-1,362.5","9,999",,
69.288,-98.067,"-1,812.5","-1,362.5","9,999",,
69.466,-97.684,"-1,787.5","-1,362.5","9,999",,
69.644,-97.294,"-1,762.5","-1,362.5","9,999",,
69.82,-96.897,"-1,737.5","-1,362.5",-1,,
69.996,-96.494,"-1,712.5","-1,362.5",-1,,
70.171,-96.082,"-1,687.5","-1,362.5","9,999",,
70.345,-95.664,"-1,662.5","-1,362.5","9,999",,
70.518,-95.237,"-1,637.5","-1,362.5","9,999",,
70.69,-94.803,"-1,612.5","-1,362.5","9,999",,
70.861,-94.362,"-1,587.5","-1,362.5","9,999",,
71.031,-93.912,"-1,562.5","-1,362.5","9,999",,
71.2,-93.453,"-1,537.5","-1,362.5","9,999",,
71.368,-92.987,"-1,512.5","-1,362.5","9,999",,
71.534,-92.511,"-1,487.5","-1,362.5",-1,,
71.7,-92.027,"-1,462.5","-1,362.5",-1,,
71.864,-91.534,"-1,437.5","-1,362.5",-1,,
72.027,-91.032,"-1,412.5","-1,362.5",-1,,
72.188,-90.521,"-1,387.5","-1,362.5",-1,,
72.348,-90,"-1,362.5","-1,362.5",-1,,
72.507,-89.469,"-1,337.5","-1,362.5","9,999",,
72.664,-88.929,"-1,312.5","-1,362.5","9,999",,
72.82,-88.379,"-1,287.5","-1,362.5","9,999",,
72.975,-87.818,"-1,262.5","-1,362.5","9,999",,
73.127,-87.248,"-1,237.5","-1,362.5","9,999",,
73.278,-86.666,"-1,212.5","-1,362.5","9,999",,
73.428,-86.074,"-1,187.5","-1,362.5",-1,,
73.576,-85.471,"-1,162.5","-1,362.5",-1,,
73.722,-84.857,"-1,137.5","-1,362.5",-1,,
73.866,-84.232,"-1,112.5","-1,362.5",-1,,
74.008,-83.596,"-1,087.5","-1,362.5",-1,,
74.148,-82.948,"-1,062.5","-1,362.5",-1,,
74.287,-82.288,"-1,037.5","-1,362.5",-1,,
74.423,-81.617,"-1,012.5","-1,362.5",-1,,
74.557,-80.933,-987.5,"-1,362.5",-1,,
74.689,-80.238,-962.5,"-1,362.5",-1,,
74.819,-79.531,-937.5,"-1,362.5",-1,,
74.946,-78.811,-912.5,"-1,362.5",-1,,
75.071,-78.079,-887.5,"-1,362.5",-1,,
75.194,-77.335,-862.5,"-1,362.5",-1,,
75.314,-76.578,-837.5,"-1,362.5",-1,,
75.432,-75.809,-812.5,"-1,362.5",-1,,
75.547,-75.027,-787.5,"-1,362.5",-1,,
75.659,-74.233,-762.5,"-1,362.5",-1,,
75.769,-73.426,-737.5,"-1,362.5",-1,,
75.876,-72.607,-712.5,"-1,362.5",-1,,
75.98,-71.775,-687.5,"-1,362.5",-1,,
76.081,-70.931,-662.5,"-1,362.5",-1,,
76.179,-70.074,-637.5,"-1,362.5",-1,,
76.274,-69.206,-612.5,"-1,362.5",-1,,
76.365,-68.325,-587.5,"-1,362.5","9,999",,
76.454,-67.433,-562.5,"-1,362.5","9,999",,
76.539,-66.529,-537.5,"-1,362.5","9,999",,
76.621,-65.614,-512.5,"-1,362.5","9,999",,
76.699,-64.687,-487.5,"-1,362.5","9,999",,
76.774,-63.75,-462.5,"-1,362.5","9,999",,
76.846,-62.802,-437.5,"-1,362.5","9,999",,
76.914,-61.844,-412.5,"-1,362.5","9,999",,
76.978,-60.876,-387.5,"-1,362.5","9,999",,
77.038,-59.899,-362.5,"-1,362.5","9,999",,
77.095,-58.912,-337.5,"-1,362.5","9,999",,
77.148,-57.918,-312.5,"-1,362.5","9,999",,
77.197,-56.915,-287.5,"-1,362.5","9,999",,
77.242,-55.905,-262.5,"-1,362.5","9,999",,
77.283,-54.888,-237.5,"-1,362.5","9,999",,
77.321,-53.865,-212.5,"-1,362.5","9,999",,
77.354,-52.836,-187.5,"-1,362.5","9,999",,
77.383,-51.801,-162.5,"-1,362.5","9,999",,
77.408,-50.763,-137.5,"-1,362.5","9,999",,
77.428,-49.72,-112.5,"-1,362.5","9,999",,
77.445,-48.674,-87.5,"-1,362.5","9,999",,
77.458,-47.626,-62.5,"-1,362.5","9,999",,
