year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2332520e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.9301270e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.4842773e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.3864258e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   3.3981592e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.0245117e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   8.3449219e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.4630811e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.9188330e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   1.3616768e+00
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   9.0959033e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   9.2137402e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.7204590e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2070313e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   4.5730469e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.6704590e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.0458496e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2976562e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.6434082e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.6809570e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.0117647e+00   7.4831543e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.1900879e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.4594595e+00   8.1143066e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.0112217e+00
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   8.9385254e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.5555556e+00   8.3183594e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.2201258e+00   8.6349121e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   8.1967773e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.3684211e+00   8.1638184e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   4.6126126e+00   8.8623047e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   9.0249512e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.7925926e+00   8.4525879e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   8.7493164e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.4156250e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   9.1438965e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.3840332e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.4063965e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.2358398e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   1.0138379e-01
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.5875488e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.4348633e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.3626953e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.5985840e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   5.5459473e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   5.5902344e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   4.7749023e-02
   2.0120000e+03   8.0000000e+00   1.5000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   3.8894531e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   2.9938965e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   2.4970215e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.5693359e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   3.1000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   3.8000000e-01   3.9689922e+00   1.4598633e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   6.0000000e-01   6.0952381e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   8.0000000e-01   6.4000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   6.0952381e+00   4.8413574e-02
   2.0120000e+03   8.0000000e+00   1.6000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00   8.7000000e-01   6.4810127e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   9.2000000e-01   6.4810127e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   8.7000000e-01   6.3209877e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   8.5000000e-01   6.1686747e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   8.3000000e-01   6.2439024e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   8.2000000e-01   6.3209877e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   8.0000000e-01   6.6493506e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   7.8000000e-01   6.0235294e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   8.4000000e-01   6.8266667e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   7.8000000e-01   6.4810127e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00   7.9000000e-01   6.8266667e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00   7.6000000e-01   6.4000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00   7.2000000e-01   6.8266667e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00   6.4000000e-01   6.6493506e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.6000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00   6.5000000e-01   6.7368421e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00   5.8000000e-01   6.7368421e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00   5.8000000e-01   6.4000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00   6.7000000e-01   6.4000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00   6.9000000e-01   6.1686747e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   6.3000000e-01   6.2439024e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   6.3000000e-01   6.9189189e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   6.2000000e-01   6.3209877e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   5.5000000e-01   5.3333333e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00   6.1000000e-01   5.8850575e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00   6.0000000e-01   6.7368421e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   6.0000000e-01   7.4202899e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   5.8000000e-01   6.2439024e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   5.8000000e-01   5.5053763e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   5.1000000e-01   5.8850575e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   5.4000000e-01   7.0136986e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   5.2000000e-01   5.5053763e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   5.0000000e-01   6.7368421e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   4.9000000e-01   5.8850575e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   4.5000000e-01   6.3209877e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00   3.9000000e-01   5.9534884e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00   4.5000000e-01   6.9189189e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01   6.6493506e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00   4.5000000e-01   6.7368421e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.7000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01   6.8266667e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00   4.1000000e-01   6.9189189e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00   3.9000000e-01   5.0693069e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00   4.3000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00   4.3000000e-01   6.4810127e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   4.3000000e-01   5.6888889e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   4.2000000e-01   6.1686747e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   4.3000000e-01   5.7528090e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   4.5000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00   4.2000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00   4.4000000e-01   6.5641026e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01   3.4133333e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01   3.2611465e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01   3.3907285e+00   0.0000000e+00
